room_id,room_number,room_type,status
121,PR-OCC006,Private Room,Occupied
122,PR-OCC007,Private Room,Occupied
123,PR-OCC008,Private Room,Occupied
124,PR-OCC009,Private Room,Occupied
125,PR-OCC010,Private Room,Occupied
126,PR-OCC011,Private Room,Occupied
127,PR-OCC012,Private Room,Occupied
128,PR-OCC013,Private Room,Occupied
129,PR-OCC014,Private Room,Occupied
130,PR-OCC015,Private Room,Occupied
131,SPR-001,Semi-private Room,Available
132,SPR-002,Semi-private Room,Available
133,SPR-003,Semi-private Room,Available
134,SPR-004,Semi-private Room,Available
135,SPR-005,Semi-private Room,Available
136,SPR-006,Semi-private Room,Available
137,SPR-007,Semi-private Room,Available
138,SPR-008,Semi-private Room,Available
139,SPR-009,Semi-private Room,Available
140,SPR-010,Semi-private Room,Available
141,SPR-011,Semi-private Room,Available
142,SPR-012,Semi-private Room,Available
143,SPR-013,Semi-private Room,Available
144,SPR-014,Semi-private Room,Available
145,SPR-015,Semi-private Room,Available
146,SPR-016,Semi-private Room,Available
147,SPR-017,Semi-private Room,Available
148,SPR-018,Semi-private Room,Available
149,SPR-019,Semi-private Room,Available
150,SPR-020,Semi-private Room,Available
151,SPR-021,Semi-private Room,Available
152,SPR-022,Semi-private Room,Available
153,SPR-023,Semi-private Room,Available
154,SPR-024,Semi-private Room,Available
155,SPR-025,Semi-private Room,Available
156,SPR-026,Semi-private Room,Available
157,SPR-027,Semi-private Room,Available
158,SPR-028,Semi-private Room,Available
159,SPR-029,Semi-private Room,Available
160,SPR-030,Semi-private Room,Available
161,SPR-031,Semi-private Room,Available
162,SPR-032,Semi-private Room,Available
163,SPR-OCC001,Semi-private Room,Occupied
164,SPR-OCC002,Semi-private Room,Occupied
165,SPR-OCC003,Semi-private Room,Occupied
166,SPR-OCC004,Semi-private Room,Occupied
167,SPR-OCC005,Semi-private Room,Occupied
168,SPR-OCC006,Semi-private Room,Occupied
169,SPR-OCC007,Semi-private Room,Occupied
170,SPR-OCC008,Semi-private Room,Occupied
171,SPR-OCC009,Semi-private Room,Occupied
172,SPR-OCC010,Semi-private Room,Occupied
173,ER-001,Emergency Room,Available
174,ER-002,Emergency Room,Available
175,ER-003,Emergency Room,Available
176,ER-004,Emergency Room,Available
177,ER-005,Emergency Room,Available
178,ER-006,Emergency Room,Available
179,ER-007,Emergency Room,Available
180,ER-008,Emergency Room,Available
181,ER-009,Emergency Room,Available
182,ER-010,Emergency Room,Available
183,ER-011,Emergency Room,Available
184,ER-012,Emergency Room,Available
185,ER-OCC001,Emergency Room,Occupied
186,ER-OCC002,Emergency Room,Occupied
187,ER-OCC003,Emergency Room,Occupied
188,ER-OCC004,Emergency Room,Occupied
189,ER-OCC005,Emergency Room,Occupied
190,ER-OCC006,Emergency Room,Occupied
191,ICU-001,ICU,Available
192,ICU-002,ICU,Available
193,ICU-003,ICU,Available
194,ICU-004,ICU,Available
195,ICU-005,ICU,Available
196,ICU-006,ICU,Available
197,ICU-007,ICU,Available
198,ICU-008,ICU,Available
199,ICU-009,ICU,Available
200,ICU-010,ICU,Available
201,ICU-OCC001,ICU,Occupied
202,ICU-OCC002,ICU,Occupied
203,ICU-OCC003,ICU,Occupied
204,ICU-OCC004,ICU,Occupied
205,OT-001,Operation Theatre,Available
206,OT-002,Operation Theatre,Available
207,OT-003,Operation Theatre,Available
208,OT-004,Operation Theatre,Available
209,OT-OCC001,Operation Theatre,Occupied
210,OT-OCC002,Operation Theatre,Occupied
